offer_id,type,fuel_type,transmission,dealer_plz,dealer_city,dealer_street_house_nr,init_regist_my,init_regist_month,init_regist_year,init_regist_dt,make,mileage,hp,price
7415870,PEUGEOT 207 CC 1.6 HDI Sport (Cabriolet),Diesel,Schaltgetriebe manuell,3400,Burgdorf,Lorraine 2a,5.2007,5.0,2007.0,2007-05,PEUGEOT,147000,110,3800
7489108,PEUGEOT 207 SW 1.4 16V Sport (Kombi),Benzin,Schaltgetriebe manuell,6005,Luzern,Horwerstrasse 21,10.201,10.0,2010.0,2010-10,PEUGEOT,95000,95,2700
7295294,SUBARU Legacy 3.0R AWD Executive Automatic (Kombi),Benzin,Automat,8758,Obstalden,Obere Bitzi 4,6.2007,6.0,2007.0,2007-06,SUBARU,135000,245,8600
6909565,MERCEDES-BENZ A 200 AMG Line (Limousine),Benzin,Schaltgetriebe manuell,6003,Luzern,6003 Luzern,12.2012,12.0,2012.0,2012-12,MERCEDES-BENZ,91000,156,16000
6221451,MERCEDES-BENZ A 200 AMG Line (Limousine),Benzin,Schaltgetriebe manuell,6900,Lugano,6900 Lugano,11.2017,11.0,2017.0,2017-11,MERCEDES-BENZ,19500,156,24900
7494163,MERCEDES-BENZ A 200 AMG Line 7G-DCT (Limousine),Benzin,Automatisiertes Schaltgetriebe,1551,Vers-chez-Perrin,"Corges, 35",2.2019,2.0,2019.0,2019-02,MERCEDES-BENZ,21500,163,39200
7500618,FIAT Punto 1.4 Dynamic (Kleinwagen),Benzin,Schaltgetriebe manuell,1260,Nyon,Chemin du Cèdre 4,3.2011,3.0,2011.0,2011-03,FIAT,142000,78,4000
7478308,FIAT Punto 1.4 Dynamic (Kleinwagen),Benzin,Schaltgetriebe manuell,1110,Morges,Chemin des Vignes 1,1.2008,1.0,2008.0,2008-01,FIAT,102000,78,4350
7478107,PEUGEOT 306 2.0 Suisse (Limousine),Benzin,Schaltgetriebe manuell,8404,Winterthur,Talwiesenstrasse 22,6.1996,6.0,1996.0,1996-06,PEUGEOT,132847,121,1500
7490252,SKODA Octavia Combi 2.0 TDI Fresh 4x4 (Kombi),Diesel,Schaltgetriebe manuell,8057,Zürich,Langackerstrasse 34,9.2014,9.0,2014.0,2014-09,SKODA,45000,150,15900
6503998,WILLYS CJ2A (Cabriolet),Benzin,Schaltgetriebe manuell,8905,Arni,Chälmatt 47,8.1947,8.0,1947.0,1947-08,WILLYS,40000,60,12000
7478432,RENAULT Koleos 2.0 dCi Initiale Paris 4x4 Xtronic CVT (SUV / Geländewagen),Diesel,"Automat stufenlos, sequentiell",9542,Münchwilen,Im Bad 18,11.2017,11.0,2017.0,2017-11,RENAULT,28000,177,28500
7327950,CHEVROLET Spark 1.2 LT (Kleinwagen),Benzin,Schaltgetriebe manuell,9436,Balgach,Rietstrasse 4b,7.2011,7.0,2011.0,2011-07,CHEVROLET,53000,82,3600
